序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,,296661575440,506285722,"呆迪呆呆呆",4,保密,"黑色还是白色？",2026-03-25 22:06:52,0,0,"",山西,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,,293174996609,33849350,"爱吃蛏的琛儿",6,男,"好奇问问大家，我是肢体残疾三级，c5驾照，我想买个二手的大疆actin5和头戴式的支架，预计投入两千多，拍自己单手开车的视频发在我的b战账号上，会不会有人看 之前做的已经积累1000粉丝了 但是毕业上班了基本没什么更新了
   还是说先租一个拍机器视频看看数据再说",2026-03-15 21:45:51,0,0,"热爱生活，志存高远，脚踏实地，无限进步。
这里是01年INFJ肢残三级男生的日常碎片，欢迎您的来访。",福建,否,https://i2.hdslb.com/bfs/face/597a76151f6f24ac8c5830004405f81cfd197ed5.jpg
3,,295569772192,3493094131501918,"Ryan带你看苹果",4,男,"Tim 你确定叫 GO Pro 不会冒犯到某个美国运动相机品牌吗",2026-03-15 16:10:34,0,0,"一个10后果粉,以后会多发视频",上海,否,https://i1.hdslb.com/bfs/face/4ba6f6e4ddb4197f37bb9c097e644cfc919706cc.jpg
4,,292971040417,4898382,"有缘PHOTO",6,女,"想问想记录自己的摄影过程和生活的，可以放在相机热靴盖上又能手持的、且能自拍的选哪种啊，有没有推荐的型号，预算也不是很高[大哭]好纠结，pocket3用过挺好看的，但是一手拿它一手拿相机超级不方便",2026-03-14 00:03:39,1,1,"千山万重 不离不弃 为了理想／RADWIMPS／BKPP",广西,是,https://i0.hdslb.com/bfs/face/0d3356e79859b118079232f81e5342e4d356559d.jpg
5,292971040417,293768289681,521599166,"路飞MISS",5,保密,"那就选a5pro得了",2026-03-22 00:25:23,0,0,"",甘肃,否,http://i2.hdslb.com/bfs/face/421e5246bee18b0ae769e96022e11d5b5bab899b.jpg
6,,292455380865,3546559125915979,"放氰",3,男,"poket3 , 360 ace pro 2 , action5 pro三选一选哪个,本人会带到学校里拍摄",2026-03-08 13:28:35,2,1,"双击跳过广告",新疆,否,https://i1.hdslb.com/bfs/face/9e41f87b02d4694617f5c9de4c7e6d8409b2a17c.jpg
7,292455380865,292498875921,3546608763406477,"实名上网冯特波",5,保密,"action5，pocket太大，不过我都带nano和go3s之类的拇指相机，可能会更友好",2026-03-08 21:06:24,0,0,"只研究后UC，最爱的作品是V高达",重庆,否,https://i1.hdslb.com/bfs/face/5a5f712165b45694fab7309ac779bb4b57d78b8f.jpg
8,292455380865,293768356225,521599166,"路飞MISS",5,保密,"日常偶然就用p3，一直用就用a5，360就是图一乐",2026-03-22 00:26:20,0,0,"",甘肃,否,http://i2.hdslb.com/bfs/face/421e5246bee18b0ae769e96022e11d5b5bab899b.jpg
9,,294662182752,3537123686746528,"譶若",3,男,"高中生记录日常生活有什么推荐的相机吗[蹲蹲]",2026-03-06 23:20:19,1,1,"",安徽,否,https://i1.hdslb.com/bfs/face/1d51d66fe167536c02d3c1746ad6efd76f1a5361.jpg
10,294662182752,296129776800,317149100,"欣欣小可爱哇",5,保密,"Action 5 PRO就可以",2026-03-21 00:06:24,0,0,"",浙江,否,https://i2.hdslb.com/bfs/face/026bb8e503f4bbef86dd1b5e2ff50d6776a8892e.jpg
11,,291885582977,1013581796,"鲁路修的追随者",5,男,"奉劝各位不要买影石的产品，我买的go3s全是质量问题，有的时候充电自动给我打开屏幕像有人在上面乱点一样乱操作给我录像拍照，而且充几分钟就断了.APP也全是bug我几个月没用连接设备之后发现之前下载到的视频照片全没了，设备里面还剩的文件APP端不显示，导不出来，我明天就要用了没内存只能格式化，我现在还在找解决方法尽量不要格式化，因为要是没方法的话我明天拍的也导不出来还有啥意义??总结别买影石",2026-03-02 23:15:49,1,1,"All heil Lelouch！",湖南,是,https://i2.hdslb.com/bfs/face/89fb95bba71057c1424d60ede0a9d7526a633d62.webp
12,291885582977,293178731697,33849350,"爱吃蛏的琛儿",6,男,"没有找售后反馈吗",2026-03-15 22:20:42,0,1,"热爱生活，志存高远，脚踏实地，无限进步。
这里是01年INFJ肢残三级男生的日常碎片，欢迎您的来访。",福建,否,https://i2.hdslb.com/bfs/face/597a76151f6f24ac8c5830004405f81cfd197ed5.jpg
13,,293486063552,408791110,"houge0576",3,保密,"手机好一点的就买个云台，换了手机还能用，再买个go ultra，差异化搭配",2026-02-25 14:14:14,0,0,"",北京,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
14,,293469389488,4604429,"白羊座杀手",6,保密,"手头还做去年买的acepro2。。在想如果只是体积更小，感觉这个钱可以省一省等下一代。。",2026-02-25 11:53:21,0,0,"",辽宁,否,https://i2.hdslb.com/bfs/face/4d09f2afaefc3e6ba8262e4688ed13770910f162.webp
15,,289429941281,517722097,"江幸520",3,男,"影石加影视，下一代要不叫GO飓风？",2026-02-11 16:40:22,0,1,"很开朗",湖南,是,https://i1.hdslb.com/bfs/face/4fccc5aa5792b32917497f335892ed792a4a6c4a.jpg
16,,289040271297,208969655,"oo天蝎子",5,保密,"不错",2026-02-08 15:09:08,0,0,"钓鱼佬，文具党，热爱电子产品",江苏,否,https://i2.hdslb.com/bfs/face/10677ab3a3a28c2028bf227b6bbbceacf80b96bd.jpg
17,,288980649841,514987280,"胡萝卜非常喜欢大白菜",5,保密,"纠结这个go ultra和大疆的nano",2026-02-07 23:55:40,3,0,"",湖北,否,http://i2.hdslb.com/bfs/face/07c4f32e9633a068c49fd8d507895ffad460e691.jpg
18,288980649841,289098308177,390516251,"工号253",5,保密,"哪个续航会更好啊，有用过的朋友分享一下吗？",2026-02-08 23:55:50,0,0,"养过一只猫叫桃子",山东,是,https://i2.hdslb.com/bfs/face/5aa46b61f5d63a8cfaeefa94ce9212f2f7d2c912.jpg
19,289098308177,290638944241,3546608763406477,"实名上网冯特波",5,保密,"回复 @工号253 :nano会好一小点",2026-02-21 00:47:46,0,0,"只研究后UC，最爱的作品是V高达",重庆,否,https://i1.hdslb.com/bfs/face/5a5f712165b45694fab7309ac779bb4b57d78b8f.jpg
20,289098308177,293483698432,5249412,"flappy_jy",6,男,"回复 @工号253 :影石续航更好，能插卡更是史诗级升级，整体使用感受比nano更成熟",2026-02-25 13:51:56,0,0,"活着就该折腾",福建,是,https://i0.hdslb.com/bfs/face/c6bdddd6700688fdc71a1dba7b113f44b6cc7564.jpg
21,,290697130432,298741610,"准时到站",6,保密,"Go4……GoPro[笑哭]",2026-02-04 00:29:39,0,0,"",福建,是,https://i2.hdslb.com/bfs/face/2b750f109a1b11b79f6f2526dcab8cad7ba1c106.jpg
22,,288024537697,3546793910471562,"好吃的呀给大哥吃的",2,保密,"这不就是小天才吗？",2026-01-30 14:02:55,0,0,"",云南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,,286520060449,397555979,"肥鸡吐司",5,保密,"主播ji 这个音怎么像是zi",2026-01-15 22:31:41,0,0,"吃饭啦",广东,否,https://i2.hdslb.com/bfs/face/53ed5d00e66bf962e0bfc8bf68dde55f14686af2.jpg
24,,285697637793,3690980913973667,"旭勇树婕雁固荔",2,保密,"70 版本的深渊，出个粉装就能卖好多钱，搬砖党狂喜",2026-01-07 12:36:26,0,0,"",广西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,,284100463681,437902195,"董6安",4,保密,"兄弟们 这个拍健身视频适合吗",2025-12-22 09:54:58,0,0,"",云南,否,https://i1.hdslb.com/bfs/face/ae0ccd7864e9fc0a5eb82d9471cbcad45121af55.jpg
26,,285986646896,243487622,"format的爸爸",5,保密,"如果选go pro那就真go",2025-12-21 06:48:34,0,0,"",湖南,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
27,,283484986737,796256,"Taxz-花园桌游",6,男,"nano 和这个怎么选[笑哭]",2025-12-15 19:48:28,0,1,"「花园桌游」小程序作者~欢迎一起来玩！",广东,否,https://i2.hdslb.com/bfs/face/0e2d22e05ca8f658f7d7e25da9e26c9db18f78cf.jpg
28,,283469745777,34747977,"马小鱼与郭獭獭",6,男,"这代ultra开始拍摄有震动了吗",2025-12-15 17:06:34,0,0,"小鱼与獭獭的生活日常，吃吃喝喝，搞搞理财，到处玩玩（有空的话）～～",北京,是,https://i0.hdslb.com/bfs/face/2ae3fe905fa4daffea00b5a1618212881cf81ab2.jpg
29,,283305238897,3546567225117356,"偏执th",2,保密,"想要带去学校记录一下生活，有时候也拍一拍景和人，推荐insta360 go ultra？还是nano？还是说ace和action系列的更推荐？或者是其他推荐的？[笑哭]",2025-12-13 22:05:31,1,2,"",河南,否,https://i2.hdslb.com/bfs/face/646129ea9a80c0a862c01685cf08aa5fe985df3e.jpg
30,283305238897,294085653745,32282066,"丨破晓之刃丨",6,保密,"后面买的啥",2026-03-25 09:04:48,0,0,"",广东,是,https://i2.hdslb.com/bfs/face/2e20a5b64ade8c14b869f87340b09b157201593f.jpg
31,,285030636304,387138208,"骑馿去旅行",6,男,"等下一代在看看，现在有一个360也够用。",2025-12-11 16:27:04,0,0,"",浙江,是,https://i1.hdslb.com/bfs/face/54acbf867bb5094c4385f44603363c0aa53b5a03.jpg
32,,282877645153,382713085,"fargoup",5,男,"给新生娃拍视频拍照片，pocket3还是go ultra？还有别的相机推荐吗",2025-12-09 12:00:14,0,0,"",内蒙古,否,https://i1.hdslb.com/bfs/face/359a2187459b09bb62cbc184059fcc212334507e.jpg
33,,283276851456,22651606,"xiye_east",6,男,"现在跑步还是用go3 s 拍最方便，轻。只是续航和成像不理想。最大的痛点就是go3s 续航太拉。",2025-11-23 14:06:44,0,0,"致力抹除美国滤镜，去魅存真。",美国,否,https://i1.hdslb.com/bfs/face/f1472a45388a4bb9d8594803b18af636b60166a4.jpg
34,,280898647857,3546391834004050,"王腾Tomas",4,保密,"poket3、go ultra、action4三选一选哪个[吃瓜]学生党学校内拍摄。",2025-11-17 21:05:21,0,0,"欢迎关注思乡
愿青春的欢笑一路徜徉年少千帆过依旧热汨撒韶华",广东,否,https://i1.hdslb.com/bfs/face/4fadb58c07447a43c0610e73c14da91b1d04be68.jpg
35,,282596384896,388615321,"躲在后海哼后摇",6,男,"谁没事一代一代换着玩啊？每次都提配件卡口，测评有点套模版了吧[doge]",2025-11-16 08:07:34,0,0,"人畜无害",浙江,是,https://i1.hdslb.com/bfs/face/a693b46f84447431781146a67a8dac40d189794a.jpg
36,,282218422416,79581434,"weibinhooo",6,男,"不能录立体声，这么大的问题没提啊",2025-11-12 10:37:55,0,0,"",四川,是,https://i2.hdslb.com/bfs/face/fccb323d1c90895730341ec647b06f49c2aa8c90.jpg
37,,280236726593,1252398595,"南星空琴",5,保密,"买了衣服，没发现卡扣",2025-11-10 18:08:36,0,1,"",江西,是,https://i1.hdslb.com/bfs/face/ddedc7a51ef5d490e732ce6bd9dcb7a8c961c1f9.jpg
38,,281773014896,65269006,"夏天的鱼还会飞",6,保密,"感谢最后对于竞品的暗示（眨眼睛）",2025-11-07 22:51:49,0,1,"",山西,否,https://i1.hdslb.com/bfs/face/c749c5ee43aa16b3cec0cd1d84cabe8ce60bef1a.jpg
